year,host,continent,winner
1930,Uruguay,South America,Uruguay
1934,Italy,Europe,Italy
1938,France,Europe,Italy
1950,Brazil,South America,Uruguay
1954,Switzerland,Europe,Germany
1958,Sweden,Europe,Brazil
1962,Chile,South America,Brazil
1966,England,Europe,England
1970,Mexico,North America,Brazil
1974,Germany,Europe,Germany
1978,Argentina,South America,Argentina
1982,Spain,Europe,Italy
1986,Mexico,North America,Argentina
1990,Italy,Europe,Germany
1994,United States,North America,Brazil
1998,France,Europe, France
2002,South Korea &  Japan,Asia,Brazil
2006,Germany,Europe,Italy
2010,South Africa,Africa,Spain
2014,Brazil,South America,Germany
